"","50.0.05","200.0.05","350.0.05","500.0.05","650.0.05","800.0.05","950.0.05","1100.0.05","50.0.1","200.0.1","350.0.1","500.0.1","650.0.1","800.0.1","950.0.1","1100.0.1","50.0.2","200.0.2","350.0.2","500.0.2","650.0.2","800.0.2","950.0.2","1100.0.2","group","platform"
"112",0.519924098671727,0.610902255639098,0.666666666666667,0.68785046728972,0.682926829268293,0.727272727272727,0.717668488160291,0.730038022813688,0.591954022988506,0.726546906187625,0.702380952380952,0.758181818181818,0.794520547945205,0.787762906309751,0.844793713163065,0.814814814814815,0.700990099009901,0.763106796116505,0.8,0.853707414829659,0.854330708661417,0.908,0.83130081300813,0.873767258382643,"all","combined"
"212",0.513157894736842,0.593283582089552,0.684108527131783,0.680970149253731,0.717712177121771,0.730696798493409,0.730769230769231,0.745454545454545,0.588235294117647,0.690978886756238,0.725146198830409,0.77196261682243,0.753968253968254,0.807920792079208,0.81404174573055,0.830769230769231,0.716566866267465,0.788537549407115,0.814,0.823412698412698,0.846307385229541,0.850393700787402,0.861216730038023,0.885436893203884,"all","combined"
"312",0.533687943262411,0.661016949152542,0.662522202486678,0.624087591240876,0.710865561694291,0.75219683655536,0.716577540106952,0.736940298507463,0.628968253968254,0.706930693069307,0.756972111553785,0.783464566929134,0.789473684210526,0.790836653386454,0.803435114503817,0.818181818181818,0.662674650698603,0.811623246492986,0.801229508196721,0.838323353293413,0.845098039215686,0.844793713163065,0.901606425702811,0.88622754491018,"all","combined"
"412",0.489051094890511,0.623885918003565,0.686486486486486,0.674955595026643,0.725952813067151,0.71455223880597,0.695099818511797,0.702359346642468,0.585687382297552,0.715667311411992,0.718811881188119,0.781132075471698,0.765503875968992,0.777131782945736,0.801980198019802,0.802816901408451,0.673913043478261,0.774951076320939,0.800403225806452,0.822937625754527,0.835643564356436,0.846899224806202,0.866,0.892578125,"all","combined"
"512",0.485822306238185,0.6286701208981,0.66044776119403,0.675146771037182,0.69622641509434,0.715302491103203,0.70188679245283,0.746323529411765,0.615533980582524,0.707171314741036,0.771698113207547,0.768924302788845,0.736111111111111,0.802469135802469,0.807017543859649,0.797270955165692,0.699801192842942,0.783365570599613,0.829787234042553,0.83960396039604,0.869477911646586,0.837164750957854,0.850806451612903,0.87378640776699,"all","combined"
"612",0.567307692307692,0.58,0.658349328214971,0.711645101663586,0.712707182320442,0.728102189781022,0.715302491103203,0.701298701298701,0.617529880478088,0.688888888888889,0.721706864564007,0.777562862669246,0.770114942528736,0.800399201596806,0.815841584158416,0.805825242718447,0.640831758034026,0.7624750499002,0.800395256916996,0.88663967611336,0.872763419483101,0.856299212598425,0.882121807465619,0.885826771653543,"all","combined"
"712",0.543233082706767,0.65474060822898,0.652705061082024,0.6796875,0.726775956284153,0.694029850746269,0.740282685512368,0.747211895910781,0.575342465753425,0.712621359223301,0.730923694779116,0.783567134268537,0.806451612903226,0.787878787878788,0.807766990291262,0.815109343936382,0.646718146718147,0.798418972332016,0.821153846153846,0.836614173228346,0.846307385229541,0.861867704280156,0.857715430861723,0.887351778656126,"all","combined"
"812",0.478336221837088,0.622061482820977,0.642468239564428,0.712041884816754,0.69622641509434,0.700917431192661,0.713532513181019,0.688073394495413,0.628968253968254,0.735294117647059,0.755813953488372,0.752032520325203,0.792899408284024,0.809885931558935,0.786274509803922,0.816901408450704,0.65863453815261,0.760314341846758,0.821862348178138,0.850894632206759,0.852551984877127,0.850409836065574,0.863366336633663,0.857425742574257,"all","combined"
"912",0.486692015209125,0.640569395017794,0.643243243243243,0.65018315018315,0.684601113172542,0.722935779816514,0.698501872659176,0.732142857142857,0.601202404809619,0.700803212851406,0.73558648111332,0.756487025948104,0.78019801980198,0.819887429643527,0.836,0.83206106870229,0.681467181467181,0.763157894736842,0.848303393213573,0.845544554455446,0.849094567404427,0.869395711500975,0.9,0.902777777777778,"all","combined"
"102",0.530075187969925,0.608695652173913,0.641765704584041,0.722326454033771,0.67513611615245,0.696491228070175,0.726003490401396,0.729678638941399,0.574181117533719,0.723577235772358,0.755905511811024,0.779467680608365,0.806324110671937,0.793650793650794,0.824399260628466,0.838323353293413,0.67004048582996,0.8125,0.809055118110236,0.81496062992126,0.890946502057613,0.862475442043222,0.87279843444227,0.877227722772277,"all","combined"
